ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20794,HW136079,01/29/2013 12:15:00 PM,074XX S CHAMPLAIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0323,003,6,69,01A,1181898,1855623,2013,04/05/2013 08:41:08 AM,41.759055756361114,-87.60891425797243,"(41.759055756361114, -87.60891425797243)"
20793,HW135767,01/29/2013 07:55:00 AM,109XX S MACKINAW AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0432,004,10,52,01A,1200172,1832803,2013,04/01/2013 09:38:11 AM,41.69599412401908,-87.54271047944498,"(41.69599412401908, -87.54271047944498)"
20790,HW133061,01/26/2013 11:55:00 PM,025XX E 73RD PL,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,0334,003,7,43,01A,1194622,1856674,2013,01/29/2013 07:01:26 AM,41.761636288296764,-87.56224769775703,"(41.761636288296764, -87.56224769775703)"
20789,HW132962,01/26/2013 10:21:00 PM,070XX S CARPENTER ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0733,007,17,68,01A,1170493,1857984,2013,01/27/2013 09:40:16 AM,41.76579058631368,-87.65064422196684,"(41.76579058631368, -87.65064422196684)"
20788,HW132598,01/26/2013 04:15:00 PM,042XX W CONGRESS PKWY,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1132,011,24,26,01A,1147871,1897386,2013,03/11/2013 10:38:20 AM,41.87437811867302,-87.73255252996228,"(41.87437811867302, -87.73255252996228)"
20787,HW132598,01/26/2013 04:15:00 PM,042XX W CONGRESS PKWY,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1132,011,24,26,01A,1147871,1897386,2013,03/11/2013 10:38:12 AM,41.87437811867302,-87.73255252996228,"(41.87437811867302, -87.73255252996228)"
20786,HW131920,01/26/2013 04:00:00 AM,005XX W 554,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,0915,009,11,60,01A,1173014,1879084,2013,01/27/2013 07:22:49 AM,41.82363594588466,-87.6407808844573,"(41.82363594588466, -87.6407808844573)"
20785,HW131920,01/26/2013 04:00:00 AM,005XX W 554,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,0915,009,11,60,01A,1173014,1879084,2013,01/27/2013 07:16:48 AM,41.82363594588466,-87.6407808844573,"(41.82363594588466, -87.6407808844573)"
20784,HW131870,01/26/2013 02:17:00 AM,011XX S MOZART ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1135,011,28,29,01A,1157566,1895126,2013,03/11/2013 10:37:31 AM,41.867984722042756,-87.69701816420024,"(41.867984722042756, -87.69701816420024)"
20783,HW131095,01/25/2013 02:59:00 PM,058XX S SHIELDS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,true,0711,007,20,68,01A,1174916,1866126,2013,01/27/2013 07:06:07 AM,41.788035659185084,-87.63418987554545,"(41.788035659185084, -87.63418987554545)"
