Community Area Id,Community Area Name,All Uninsured,By Age: 0 to 17 Uninsured,By Age: 18 to 64 Uninsured,By Age: 65 and over Uninsured,By Race: White Uninsured,By Race: Latino Uninsured,By Race: Black Uninsured,By Race: Asian Uninsured,By Nativity: Native-Born Uninsured,By Nativity: Foreign-Born Uninsured,By Nativity: Foreign-Born Citizen Uninsured,By Nativity: Foreign-Born Noncitizen Uninsured,By School Enrollment: 19 to 25 Uninsured,By School Enrollment: Enrolled 19 to 25 Uninsured,By School Enrollment: Not enrolled 19 to 25 Uninsured,By Income: Under 138% of Poverty Line Uninsured,By Income: 138 to 199% of Poverty Line Uninsured,By Income: 200 to 399% of Poverty Line Uninsured,By Income: 400% and over Poverty Line Uninsured
15,Portage Park,0.183,0.049,0.256,0.026,0.172,0.205,0.238,0.121,0.117,0.321,0.187,0.476,0.338,0.255,0.396,0.290,0.295,0.170,0.089
16,Irving Park,0.238,0.080,0.315,0.034,0.158,0.307,0.338,0.262,0.142,0.441,0.266,0.565,0.460,0.331,0.520,0.391,0.313,0.279,0.072
17,Dunning,0.203,0.083,0.275,0.035,0.213,0.176,0.099,0.166,0.118,0.357,0.186,0.576,0.398,0.251,0.498,0.363,0.233,0.212,0.132
18,Montclare,0.221,0.073,0.319,0.043,0.223,0.233,0.142,0.181,0.119,0.406,0.203,0.566,0.426,0.319,0.474,0.351,0.247,0.168,0.142
19,Belmont Cragin,0.270,0.067,0.393,0.052,0.301,0.271,0.154,0.050,0.162,0.442,0.181,0.574,0.483,0.391,0.525,0.332,0.329,0.233,0.141
20,Hermosa,0.264,0.047,0.387,0.053,0.154,0.275,0.167,0.153,0.169,0.436,0.276,0.517,0.474,0.443,0.489,0.323,0.261,0.251,0.158
21,Avondale,0.329,0.116,0.429,0.077,0.233,0.374,0.378,0.214,0.203,0.519,0.222,0.653,0.564,0.347,0.646,0.435,0.489,0.281,0.123
22,Logan Square,0.238,0.115,0.284,0.081,0.138,0.339,0.201,0.146,0.172,0.481,0.220,0.612,0.379,0.330,0.403,0.356,0.380,0.270,0.057
23,Humboldt Park,0.239,0.072,0.349,0.006,0.275,0.265,0.206,0.211,0.195,0.442,0.267,0.531,0.444,0.371,0.483,0.242,0.289,0.221,0.209
24,West Town,0.167,0.040,0.203,0.022,0.134,0.228,0.187,0.171,0.134,0.337,0.157,0.469,0.279,0.258,0.291,0.290,0.322,0.213,0.045
25,Austin,0.230,0.078,0.333,0.020,0.122,0.275,0.230,0.176,0.223,0.410,0.144,0.576,0.461,0.414,0.481,0.270,0.222,0.226,0.144
26,West Garfield Park,0.197,0.068,0.306,0.007,0.407,0.132,0.195,0.056,0.197,0.372,0.600,0.056,0.452,0.234,0.522,0.215,0.181,0.179,0.137
